Price,Num Bedrooms,Num Bathrooms,Square Footage,Most Recent Property Taxes,Most Recent Tax Assessment,City,State,Street Address,Year Built,Image Name
429900,4,4,3000,1476,28100,Alabaster,AL,239 Mountain Lake Trl,2004,239mountainLake.png
749900,3,2,2030,-1,668200,Rye Brook,NY,7 Jean Lane,1950,7_jean_lane.png
499900,4,3,1941,4334,101706,Waynesville,OH,8979 Adam Ln,2004,adamLane.png
379900,2,2,1678,3203,108320,Norcross,GA,6401 Deerings Ln,1980,6401deeringsLn.png
353685,3,2,1624,-1,-1,Stevens Point,WI,2420 Trail Meets Circle,2023,trailMeetsCircle.png
349900,3,2,2382,2032,130300,Fargo,ND,1262 7th St N,1927,fargohouse.png
429500,3,3,2964,1836,222200,Seymour,IN,1411 Stadium Dr,1979,seymour.png
1695000,7,8,5317,1845,44850,Frankford,DE,34577 Peppers Corner Rd,2001,frankfordHouse.png
539000,3,2,1309,"3,668",349700,Peabody,MA,28 Oak Ave,1950,28oakAve.png
280000,3,4,1793,2312,223200,Baltimore,MD,7400 Waymouth Way,1949,waymouthWay.png
350000,4,3,2504,5748,278765,Pasadena,TX,6427 Avenel Dr,1992,pasadenaTX.png
2350000,5,4,4906,6468,69625,Boulder,CO,7083 Indian Peaks Trail,1969,boulderCO.png
42500,2,1,840,-1,-1,Williamstown,NJ,202 Florida Ave,1972,floridaAveNJ.png
11500,3,2,2016,-1,15660,Elkview,WV,10844 Frame Rd,1951,elkviewWV.png
74900,3,2,1372,-1,-1,Dodge City,KS,10918 104 Rd,1993,dodgeCityKS.png
450000,3,2,1350,3136,301334,Midpines,CA,6164 Sherlock Rd,2009,sherlockRd.png
399000,3,2,1640,2035,347800,Kaunakakai,HI,3131 Kamehameha V Hwy,1994,kamehameha.png
35000,2,2,980,44,597,Superior,WY,67 Washington St,1982,superior.png
32500000,5,13,11173,308144,25814160,Beverly Hills,CA,1026 Ridgedale Dr,1934,ridgedaleDrBeverlyHills.png
40000,4,1,2280,1116,59000,Kokomo,IN,1730 S Bell St,1910,sBellSt.png